Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;_SNCF_WIFI_INOUI;04:F0:21:24:2B:11;;6;No;OPN,None;No;195.0;0;1;0;4;0;0;4;;;Fri Dec 20 21:47:40 2024;Fri Dec 20 21:48:44 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.10.5.182;
2;infrastructure;;06:A0:68:AD:F3:0E;;6;No;WPA,None;No;-1.0;0;0;0;1;0;0;1;;;Fri Dec 20 21:47:57 2024;Fri Dec 20 21:48:57 2024;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Android s10+;DE:4E:9E:06:BD:41;;6;No;WPA2,AES-CCM;No;130.0;0;22;0;7;0;0;7;;;Fri Dec 20 21:47:32 2024;Fri Dec 20 21:48:59 2024;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;00:25:00:FF:94:73;;6;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Fri Dec 20 21:47:31 2024;Fri Dec 20 21:49:00 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
