LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-12-20 21:44:15,1900-01-00 00:00:00,,1E:4B:F8:00:13:7F,-47,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,B2:1E:65:93:B1:DD,-52,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-58,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,DE:4E:9E:06:BD:41,-71, ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-59,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,8A:57:CC:66:94:17,-76,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-67, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-55,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-49,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:15,1900-01-00 00:00:00,,9C:2F:9D:78:48:91,-84,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:15,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-49,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:16,1900-01-00 00:00:00,,AA:66:75:FD:70:47,-72,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-57,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-53,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:16,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,BA:60:1A:A2:92:4D,-41,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:16,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-57,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-50,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-53,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:16,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:17,1900-01-00 00:00:00,Android s10+,DE:4E:9E:06:BD:41,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-48,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-48,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-47,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-52,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-53,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,CE:F5:3C:3F:BE:38,-53,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-57,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,A2:7E:8B:CB:72:3F,-51,,0.000000,0.000000,0.000,0.000,Client
2024-12-20 21:44:17,1900-01-00 00:00:00,,AE:88:8C:70:4E:E3,-54,,0.000000,0.000000,0.000,0.000,Client
